left_ear,right_ear,avg_ear,mar,yaw_deg,pitch_deg,roll_deg,ear_asymmetry,nose_centrality,label_id,label_name
0.2966,0.3044,0.281,0.2605,15.2427,-2.4467,7.8591,0.035,0.0255,0,Attentive
0.2064,0.1708,0.1949,0.6177,12.05,26.7224,0.7161,0.0735,0.0484,2,Drowsy
0.265,0.2429,0.2613,0.1891,41.5844,9.1749,-5.2312,0.0133,0.3837,1,Distracted
0.2605,0.1471,0.2125,0.4502,3.5125,17.4131,11.3127,0.0352,0.112,2,Drowsy
0.1446,0.1901,0.2168,0.3671,7.5405,14.9708,-1.3551,0.0372,0.092,2,Drowsy
0.1883,0.2357,0.225,0.3002,28.7824,4.6176,-0.9065,0.0,0.5008,1,Distracted
0.1426,0.0373,0.0109,0.6679,53.4076,27.9648,53.5845,0.06,0.5971,3,Absent
0.3581,0.2831,0.3214,0.3104,48.3663,-17.9996,3.1733,0.0561,0.2928,1,Distracted
0.0875,0.1293,0.1236,0.8036,-13.6286,27.574,-3.0668,0.0201,0.7142,3,Absent
0.2919,0.3502,0.3335,0.185,9.6379,8.6798,-3.7413,0.0282,0.0961,0,Attentive
0.1807,0.279,0.2088,0.4257,-2.5256,0.2009,5.6771,0.0302,0.1469,2,Drowsy
0.2394,0.2102,0.2431,0.2606,37.5426,20.1038,2.3255,0.0124,0.2057,1,Distracted
0.2829,0.2756,0.3162,0.2014,7.6011,7.8657,7.8112,0.033,0.4732,1,Distracted
0.1968,0.1794,0.1746,0.5688,-1.2347,12.6921,0.1552,0.0423,0.0322,2,Drowsy
0.1633,0.166,0.1809,0.475,2.8226,8.1536,-3.5863,0.0533,0.0872,2,Drowsy
0.0659,0.0565,0.1118,0.5959,39.7815,28.3715,2.9989,0.0458,0.3949,3,Absent
0.2939,0.2739,0.2602,0.3258,34.461,-3.192,-6.5887,0.0074,0.5893,1,Distracted
0.3311,0.2847,0.2933,0.2011,-0.5543,5.6411,5.7849,0.0108,0.0761,0,Attentive
0.2855,0.3287,0.299,0.2196,7.7402,5.8675,3.7849,0.0208,0.0489,0,Attentive
0.2491,0.2599,0.2434,0.2675,30.1158,28.5078,-1.9958,0.0321,0.3748,1,Distracted
0.3338,0.2559,0.3048,0.2897,15.3765,0.8138,4.1007,0.0522,0.3964,1,Distracted
0.2904,0.3327,0.3001,0.2835,42.6769,14.525,9.5216,0.0,0.1947,1,Distracted
0.2398,0.2851,0.2672,0.2906,35.2682,0.1334,8.7613,0.029,0.2511,1,Distracted
0.1697,0.1361,0.0976,0.7475,-14.058,30.9228,26.2755,0.0,0.703,3,Absent
0.0389,0.0408,0.0799,0.4633,-2.4537,22.0329,13.4679,0.0557,0.541,3,Absent
0.0673,0.1715,0.1699,0.425,8.2283,15.0097,8.9515,0.0489,0.008,2,Drowsy
0.3115,0.2088,0.3326,0.3266,29.1928,22.3718,3.4731,0.0208,0.3975,1,Distracted
0.2999,0.3054,0.294,0.1592,24.5974,9.7031,7.9233,0.0453,0.3644,1,Distracted
0.0974,0.0687,0.0846,0.5896,26.3328,24.7076,37.7746,0.0386,0.5132,3,Absent
0.3393,0.2935,0.3234,0.3318,13.4935,-4.645,0.7316,0.0165,0.0647,0,Attentive
0.2568,0.2845,0.2968,0.272,13.1437,2.8292,-5.1111,0.0284,0.0726,0,Attentive
0.2898,0.2698,0.2203,0.275,44.8811,19.4563,8.0262,0.0192,0.1523,1,Distracted
0.1272,0.2195,0.1842,0.4715,-2.5836,-3.708,8.8131,0.0408,0.1163,2,Drowsy
0.0938,0.0419,0.1186,0.7691,5.8117,27.9819,25.4999,0.0359,0.4908,3,Absent
0.3621,0.2118,0.2581,0.2775,33.2422,20.0641,-1.347,0.0352,0.2922,1,Distracted
0.2672,0.2645,0.2878,0.3658,31.3629,11.7044,9.3612,0.0411,0.2886,1,Distracted
0.3019,0.313,0.2196,0.2704,31.6387,7.1943,1.3038,0.0231,0.435,1,Distracted
0.2507,0.2441,0.2577,0.2575,34.414,12.3546,-17.1302,0.0138,0.3108,1,Distracted
0.348,0.3211,0.3133,0.2583,-8.0561,-0.3853,6.2089,0.0095,0.0,0,Attentive
0.2268,0.2503,0.2984,0.2805,46.3153,11.8125,2.8853,0.073,0.3406,1,Distracted
0.1676,0.0829,0.0393,0.827,-6.9297,-32.4257,24.2326,0.0773,0.6328,3,Absent
0.1288,0.0498,0.0331,0.6326,-4.5424,15.8383,11.6324,0.0,0.6561,3,Absent
0.2936,0.2656,0.2713,0.2824,21.2865,2.3313,-5.7097,0.0115,0.3594,1,Distracted
0.1949,0.1437,0.1546,0.5845,-0.907,15.6373,10.2766,0.0253,0.0444,2,Drowsy
0.2804,0.2565,0.2537,0.2201,18.2962,1.2028,3.9544,0.0321,0.3229,1,Distracted
0.3558,0.274,0.287,0.276,25.1398,26.2353,1.8338,0.0075,0.3049,1,Distracted
0.0575,0.118,0.0706,0.7361,2.1391,10.505,26.3232,0.0946,0.543,3,Absent
0.19,0.0515,0.2078,0.5618,3.678,8.6719,4.3682,0.0243,0.0973,2,Drowsy
0.1546,0.2058,0.2095,0.4149,4.142,2.8118,12.2582,0.0376,0.0431,2,Drowsy
0.1985,0.2068,0.1432,0.4121,2.6573,1.1368,-4.3728,0.0298,0.1342,2,Drowsy
0.2669,0.3246,0.3046,0.229,-12.2374,13.1109,-4.1384,0.0141,0.0608,0,Attentive
0.3148,0.3055,0.2785,0.285,-1.6051,3.8541,14.8004,0.019,0.0845,0,Attentive
0.3262,0.3747,0.2668,0.2025,30.1163,10.14,8.3827,0.0182,0.5055,1,Distracted
0.1474,0.164,0.21,0.5376,-2.9281,15.9836,1.9834,0.0642,0.0387,2,Drowsy
0.3055,0.3423,0.2562,0.2859,35.4723,12.6389,-3.7277,0.0322,0.2074,1,Distracted
0.3146,0.2536,0.3271,0.2264,2.2509,12.2806,-4.4358,0.006,0.0325,0,Attentive
0.2879,0.2846,0.2881,0.2843,19.7214,-3.178,-8.2856,0.0464,0.4328,1,Distracted
0.2914,0.2193,0.139,0.3733,22.2281,6.2849,4.2376,0.0208,0.1426,2,Drowsy
0.3283,0.2908,0.2485,0.2552,38.4366,8.1141,10.6337,0.0,0.2006,1,Distracted
0.1001,0.0868,0.139,0.6677,23.9523,21.9759,21.7636,0.0352,0.5071,3,Absent
0.0398,0.2143,0.0971,0.6729,17.9231,38.1265,46.335,0.03,0.5306,3,Absent
0.3139,0.259,0.3212,0.1884,7.4184,7.3794,-1.4839,0.0258,0.0578,0,Attentive
0.2821,0.2283,0.2897,0.2957,7.301,5.9973,0.6,0.0072,0.0655,0,Attentive
0.2216,0.1663,0.1963,0.5922,5.759,7.0962,4.9696,0.0413,0.1298,2,Drowsy
0.1294,0.2314,0.2147,0.589,2.734,4.0311,4.4201,0.0383,0.0539,2,Drowsy
0.2687,0.3276,0.3158,0.2927,30.9256,19.6093,8.8814,0.0163,0.2172,1,Distracted
0.2237,0.2281,0.326,0.3228,22.6884,16.0729,13.8071,0.0294,0.6099,1,Distracted
0.3457,0.3221,0.3445,0.1672,-1.1956,-2.1471,5.6074,0.0095,0.0727,0,Attentive
0.2461,0.3498,0.2725,0.2198,30.6904,-3.0045,13.6033,0.0161,0.4029,1,Distracted
0.0594,0.0424,0.0785,0.5678,-11.8255,4.1729,34.6531,0.0574,0.5925,3,Absent
0.2814,0.295,0.2882,0.151,8.9833,-4.5092,3.1962,0.0407,0.0224,0,Attentive
0.3567,0.219,0.2396,0.3313,38.1715,23.1378,4.9072,0.0126,0.3286,1,Distracted
0.2576,0.2116,0.1695,0.4433,-2.6609,15.0536,6.8314,0.0297,0.0383,2,Drowsy
0.2606,0.3495,0.2459,0.1995,53.3358,21.9676,7.5927,0.0291,0.3061,1,Distracted
0.1131,0.1134,0.0691,0.6805,8.2958,45.122,28.7305,0.0825,0.7088,3,Absent
0.2655,0.2148,0.2798,0.2978,7.1356,1.4494,1.8885,0.0131,0.0561,0,Attentive
0.2729,0.2535,0.3064,0.3052,6.8013,2.9832,-0.9464,0.0091,0.075,0,Attentive
0.2704,0.3107,0.2732,0.282,29.3177,8.1835,13.048,0.0318,0.3635,1,Distracted
0.3445,0.3279,0.264,0.1723,51.6269,23.5939,-3.1973,0.0602,0.3882,1,Distracted
0.227,0.3338,0.3215,0.3339,26.6748,13.4245,-2.6642,0.0482,0.3426,1,Distracted
0.1687,0.1635,0.2059,0.5418,8.4619,7.1361,4.7009,0.058,0.1172,2,Drowsy
0.1427,0.2544,0.1891,0.4519,-2.8443,17.4363,6.5864,0.0526,0.0597,2,Drowsy
0.2072,0.1346,0.1691,0.5656,-1.7456,6.9756,-3.871,0.0801,0.1305,2,Drowsy
0.2676,0.2731,0.2245,0.3014,42.7713,14.9354,11.2324,0.034,0.3979,1,Distracted
0.1682,0.1039,0.0571,0.6167,39.0127,8.9572,-2.7843,0.0077,0.2042,3,Absent
0.257,0.3099,0.2796,0.2317,7.0342,6.6501,8.6848,0.0192,0.0592,0,Attentive
0.2757,0.3056,0.2803,0.2602,8.4539,9.7375,-4.1309,0.042,0.073,0,Attentive
0.2458,0.2326,0.2864,0.1688,40.5458,8.9081,11.8078,0.0166,0.3297,1,Distracted
0.2063,0.3322,0.2847,0.2769,38.3762,6.5502,6.3622,0.0182,0.4774,1,Distracted
0.2083,0.2307,0.1665,0.5619,21.7696,8.5302,7.9244,0.0282,0.0808,2,Drowsy
0.052,0.0046,0.0653,0.7617,42.7063,56.59,35.2998,0.0141,0.4683,3,Absent
0.2182,0.3261,0.2771,0.258,37.2248,16.319,-0.4264,0.0137,0.415,1,Distracted
0.1085,0.1198,0.1185,0.6302,21.5226,42.329,17.155,0.0676,0.7241,3,Absent
0.1736,0.261,0.1765,0.4058,-1.1668,-5.8144,8.1081,0.0,0.0798,2,Drowsy
0.3164,0.3002,0.2891,0.2445,2.2931,0.4099,0.706,0.036,0.0668,0,Attentive
0.2172,0.1997,0.2135,0.369,-2.4432,8.1622,-3.6611,0.0346,0.0901,2,Drowsy
0.2879,0.3597,0.2792,0.2225,1.8238,8.8851,3.039,0.0071,0.034,0,Attentive
0.3547,0.2242,0.2864,0.2841,1.2725,7.3268,7.6905,0.0371,0.4404,1,Distracted
0.1219,0.04,0.1216,0.586,17.0462,13.5002,1.3633,0.0971,0.5596,3,Absent
0.2575,0.2228,0.3216,0.32,34.6614,23.6433,8.9752,0.0135,0.2461,1,Distracted
0.2035,0.2034,0.1848,0.6033,10.9759,3.1434,1.0541,0.0224,0.1021,2,Drowsy
0.1727,0.0038,0.1478,0.6152,30.276,15.1151,6.5695,0.0645,0.7584,3,Absent
0.2785,0.2615,0.3244,0.1447,12.2287,12.7044,0.4891,0.0,0.0392,0,Attentive
0.0981,0.036,0.1012,0.6797,31.0054,18.4369,24.7409,0.0482,0.6948,3,Absent
0.186,0.1492,0.1648,0.6758,13.8277,-3.7907,-7.8348,0.0415,0.1157,2,Drowsy
0.0657,0.1684,0.2122,0.3441,9.7314,17.2459,-12.5395,0.037,0.0,2,Drowsy
0.2787,0.2328,0.2397,0.4067,24.6732,6.7696,2.7966,0.0216,0.4121,1,Distracted
0.0348,0.1276,0.0474,0.7472,6.3215,25.2374,2.283,0.0734,0.3033,3,Absent
0.2549,0.3228,0.3021,0.1771,0.5263,-2.2651,3.5959,0.0334,0.0,0,Attentive
0.2547,0.3362,0.2955,0.1727,26.0239,-7.8494,11.9797,0.0295,0.1272,1,Distracted
0.0953,0.0332,0.106,0.6132,31.9504,28.7898,12.0839,0.1013,0.4169,3,Absent
0.2528,0.2917,0.3265,0.2446,24.6627,10.9749,3.64,0.043,0.3047,1,Distracted
0.0315,0.0999,0.0682,0.7489,15.8462,61.4652,37.7774,0.0405,0.4596,3,Absent
0.2929,0.3023,0.2872,0.1448,19.3374,4.0873,3.9907,0.0194,0.0279,0,Attentive
0.2022,0.1749,0.2071,0.4786,18.4356,7.2124,10.715,0.0575,0.1094,2,Drowsy
0.2337,0.2527,0.3203,0.2509,36.721,-0.7565,7.0195,0.0208,0.4547,1,Distracted
0.2551,0.2725,0.3331,0.2415,3.6366,8.3118,5.4816,0.0228,0.0437,0,Attentive
0.313,0.324,0.3189,0.3094,8.6664,5.4601,7.3508,0.0197,0.0235,0,Attentive
0.0689,0.1509,0.0704,0.8004,9.7274,12.6367,20.7774,0.097,0.5076,3,Absent
0.1478,0.0762,0.0423,0.6403,57.65,34.9845,21.6089,0.0789,0.8581,3,Absent
0.079,0.1529,0.1235,0.8842,23.9896,6.8459,9.7138,0.0144,0.7034,3,Absent
0.2553,0.2533,0.1282,0.339,-4.0303,0.4485,5.6173,0.0287,0.1629,2,Drowsy
0.0828,0.2235,0.1983,0.4221,8.5018,0.1754,4.3619,0.0559,0.0,2,Drowsy
0.1664,0.177,0.181,0.4195,2.3749,4.7713,8.2833,0.0439,0.1703,2,Drowsy
0.3456,0.3163,0.2552,0.4126,38.9239,1.6488,14.9175,0.0716,0.3467,1,Distracted
0.3336,0.3382,0.2957,0.3049,5.8613,3.4515,6.5327,0.0207,0.1117,0,Attentive
0.2631,0.3218,0.2842,0.235,48.86,11.9366,5.0176,0.0336,0.2429,1,Distracted
0.3058,0.2777,0.267,0.2194,2.7037,-0.0051,-1.4621,0.0059,0.0475,0,Attentive
0.2047,0.1023,0.1499,0.3413,-3.635,11.3243,9.1778,0.0469,0.0709,2,Drowsy
0.2849,0.26,0.3034,0.3921,25.9484,-6.6513,-7.0104,0.027,0.2837,1,Distracted
0.1543,0.1988,0.1698,0.2511,11.4878,16.7595,13.1897,0.0484,0.0701,2,Drowsy
0.0736,0.1919,0.2127,0.4725,9.8121,10.8565,-2.1732,0.0223,0.0672,2,Drowsy
0.2902,0.2108,0.2528,0.21,10.8199,9.9708,0.2131,0.0825,0.3331,1,Distracted
0.2717,0.3308,0.3253,0.2631,27.4296,1.3557,9.1567,0.0259,0.3114,1,Distracted
0.2893,0.2958,0.3185,0.1545,13.5464,3.5088,-0.0575,0.0191,0.0489,0,Attentive
0.2281,0.158,0.1897,0.4656,-4.566,15.7287,6.8014,0.0003,0.0911,2,Drowsy
0.3256,0.2672,0.3223,0.2586,7.426,-5.2292,-2.4753,0.026,0.0215,0,Attentive
0.2134,0.2165,0.1566,0.3083,8.651,-4.5868,4.7601,0.0311,0.1287,2,Drowsy
0.3245,0.3286,0.3305,0.3601,0.1513,3.767,-0.0822,0.02,0.096,0,Attentive
0.1999,0.2539,0.2461,0.317,26.919,18.878,13.3909,0.0456,0.3285,1,Distracted
0.0305,0.0266,0.1016,0.6883,6.1344,3.6319,32.2548,0.0607,0.2773,3,Absent
0.2206,0.3043,0.3271,0.2695,51.322,8.1031,10.0975,0.0,0.5919,1,Distracted
0.0712,0.0624,0.08,0.5414,38.0989,32.5104,12.9142,0.0356,0.4341,3,Absent
0.1103,0.1458,0.1719,0.4477,-1.3607,15.2962,13.8997,0.0437,0.0834,2,Drowsy
0.2532,0.3246,0.3106,0.2017,-1.3086,-0.2673,-5.4149,0.0118,0.016,0,Attentive
0.2317,0.1906,0.1662,0.4778,12.8986,11.6404,13.112,0.0617,0.1009,2,Drowsy
0.3371,0.3327,0.3152,0.1954,0.4687,11.4917,2.7086,0.0432,0.0618,0,Attentive
0.2722,0.3066,0.2866,0.3765,22.5728,18.8106,5.2838,0.0439,0.3063,1,Distracted
0.283,0.3776,0.2905,0.2433,25.0113,5.0823,18.0638,0.022,0.4407,1,Distracted
0.242,0.2313,0.2939,0.2422,16.1543,19.7134,13.3706,0.0611,0.3687,1,Distracted
0.3442,0.2743,0.2906,0.3625,30.1509,30.3553,16.9526,0.0274,0.2922,1,Distracted
0.18,0.218,0.1679,0.4442,0.3731,27.7274,5.2662,0.0293,0.0139,2,Drowsy
0.3157,0.2738,0.2165,0.2788,36.2196,21.6722,14.5307,0.0163,0.4301,1,Distracted
0.2614,0.3088,0.3036,0.2193,4.1279,14.1204,5.477,0.0086,0.0467,0,Attentive
0.1917,0.1931,0.162,0.5284,-7.1848,6.0448,6.7793,0.0342,0.0717,2,Drowsy
0.2025,0.2219,0.1928,0.5325,-2.9844,4.0687,10.7324,0.0712,0.0341,2,Drowsy
0.3109,0.2602,0.2756,0.2469,17.9668,1.4256,6.1893,0.0365,0.3649,1,Distracted
0.1696,0.1955,0.2087,0.5503,17.487,5.3645,-2.8202,0.0472,0.1554,2,Drowsy
0.0202,0.057,0.112,0.6462,25.4052,15.7548,2.2848,0.0428,0.3455,3,Absent
0.1531,0.1365,0.1875,0.3733,-0.2076,10.0677,2.3676,0.0862,0.077,2,Drowsy
0.2971,0.2875,0.2764,0.2804,-7.5371,8.4322,-3.0111,0.0125,0.006,0,Attentive
0.1886,0.2109,0.1797,0.4202,9.809,23.1316,5.5029,0.0297,0.0724,2,Drowsy
0.1285,0.0349,0.0849,0.6565,37.022,36.3405,23.3516,0.0606,0.3403,3,Absent
0.0193,0.0,0.1553,0.5033,29.4985,42.6604,16.7712,0.032,0.2648,3,Absent
0.2858,0.2807,0.3424,0.2579,34.6459,24.6344,5.8821,0.0527,0.2589,1,Distracted
0.1041,0.0838,0.0762,0.5364,52.6185,-1.9509,19.947,0.0613,0.7809,3,Absent
0.2773,0.2817,0.2648,0.2038,-7.8135,-3.8311,7.2682,0.0105,0.129,0,Attentive
0.3108,0.2612,0.3143,0.2725,-11.9585,-5.1325,0.5843,0.017,0.0137,0,Attentive
0.2591,0.2501,0.2272,0.3395,32.9035,-2.4634,0.0411,0.0127,0.3543,1,Distracted
0.1823,0.1745,0.1481,0.4439,5.9301,11.2173,4.9014,0.0353,0.0777,2,Drowsy
0.3462,0.2834,0.2937,0.2123,6.0612,10.8745,-6.7139,0.0241,0.0417,0,Attentive
0.0709,0.0107,0.0405,0.7098,20.5341,9.6421,30.8913,0.0134,0.4777,3,Absent
0.2906,0.3039,0.2405,0.1585,7.9277,10.2603,-2.5524,0.0176,0.0588,0,Attentive
0.3471,0.309,0.3241,0.2857,25.3134,9.4213,0.1715,0.0612,0.429,1,Distracted
0.0498,0.0531,0.0809,0.7548,-4.6376,27.5803,9.4312,0.0403,0.9503,3,Absent
0.238,0.2411,0.2642,0.2346,37.6871,-9.4653,-1.7076,0.0608,0.2572,1,Distracted
0.1174,0.1258,0.0644,0.8298,32.5224,21.891,28.2129,0.1276,0.3162,3,Absent
0.309,0.3376,0.3176,0.314,47.8237,-0.8165,-4.0136,0.0331,0.3569,1,Distracted
0.2358,0.2204,0.2851,0.3497,32.7815,-5.0575,10.0397,0.0637,0.2854,1,Distracted
0.2589,0.2801,0.2732,0.3563,37.6089,18.549,5.0564,0.0511,0.3898,1,Distracted
0.1419,0.0387,0.1491,0.4955,34.0672,-1.0775,11.2115,0.0528,0.4527,3,Absent
0.1812,0.1908,0.1804,0.3474,4.1972,-2.6786,3.3796,0.0727,0.1129,2,Drowsy
